val_loss,auc,val_Accuracy,val_CohenKappa,val_F1Score,val_Recall,val_Precision,val_Specificity,epoch,step
0.8924645185470581,0.6170327067375183,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,1,385
0.8934494853019714,0.5007846355438232,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,3,771
0.8953074812889099,0.4725184440612793,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,5,1157
0.8922832608222961,0.5,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,7,1543
0.9867685437202454,0.40316861867904663,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,9,1929
0.9666491150856018,0.4022460877895355,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,11,2315
0.9743707180023193,0.4296113848686218,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,13,2701
0.9782337546348572,0.4156956076622009,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,15,3087
1.0015053749084473,0.3996342420578003,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,17,3473
0.9795916080474854,0.4182797074317932,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,19,3859
1.0031416416168213,0.41391634941101074,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,21,4245
0.9815713763237,0.4219523072242737,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,23,4631
0.9265748262405396,0.5503431558609009,0.6591615080833435,0.0,0.26485729217529297,0.3333333432674408,0.2197205126285553,0.6666666865348816,25,5017
